GPIO.010.115.0:OEIN.0 GOUT.010.115.0038
GPIO.010.115.0:OEIN.1 GOUT.010.115.0030
GPIO.010.115.0:BSLIPMAX GIN.010.115.0019
GPIO.010.115.0:CEIN GOUT.010.115.0027
GPIO.010.115.0:CEOUT GOUT.010.115.0045
GPIO.010.115.0:ACLR GOUT.010.115.0028
GPIO.010.115.0:SCLR GOUT.010.115.0031
GPIO.010.115.0:CLKIN_IN.0 DCMUX.010.115.0010
GPIO.010.115.0:CLKIN_IN.1 DCMUX.010.115.0008
GPIO.010.115.0:CLKIN_OUT.0 DCMUX.010.115.0014
GPIO.010.115.0:CLKIN_OUT.1 DCMUX.010.115.0012
GPIO.010.115.1:DATAIN.0 GOUT.010.115.0049
GPIO.010.115.1:DATAIN.1 GOUT.010.115.0041
GPIO.010.115.1:DATAIN.2 GOUT.010.115.0048
GPIO.010.115.1:DATAIN.3 GOUT.010.115.0040
GPIO.010.115.1:DATAOUT.0 GIN.010.115.0024
GPIO.010.115.1:DATAOUT.1 GIN.010.115.0023
GPIO.010.115.1:DATAOUT.2 GIN.010.115.0022
GPIO.010.115.1:DATAOUT.3 GIN.010.115.0021
GPIO.010.115.1:DATAOUT.4 GIN.010.115.0020
GPIO.010.115.1:OEIN.0 GOUT.010.115.0047
GPIO.010.115.1:OEIN.1 GOUT.010.115.0039
GPIO.010.115.1:BSLIPMAX GIN.010.115.0025
GPIO.010.115.1:CEIN GOUT.010.115.0051
GPIO.010.115.1:CEOUT GOUT.010.115.0050
GPIO.010.115.1:ACLR GOUT.010.115.0042
GPIO.010.115.1:SCLR GOUT.010.115.0046
GPIO.010.115.1:CLKIN_IN.0 DCMUX.010.115.0011
GPIO.010.115.1:CLKIN_IN.1 DCMUX.010.115.0009
GPIO.010.115.1:CLKIN_OUT.0 DCMUX.010.115.0015
GPIO.010.115.1:CLKIN_OUT.1 DCMUX.010.115.0013
GPIO.010.115.2:DATAIN.0 GOUT.010.115.0014
GPIO.010.115.2:DATAIN.1 GOUT.010.115.0022
GPIO.010.115.2:DATAIN.2 GOUT.010.115.0015
