GPIO.004.000.3:DATAOUT.1 GIN.004.000.0003
GPIO.004.000.3:DATAOUT.2 GIN.004.000.0004
GPIO.004.000.3:DATAOUT.3 GIN.004.000.0005
GPIO.004.000.3:DATAOUT.4 GIN.004.000.0006
GPIO.004.000.3:OEIN.0 GOUT.004.000.0002
GPIO.004.000.3:OEIN.1 GOUT.004.000.0019
GPIO.004.000.3:BSLIPMAX GIN.004.000.0001
GPIO.004.000.3:CEIN GOUT.004.000.0005
GPIO.004.000.3:CEOUT GOUT.004.000.0004
GPIO.004.000.3:ACLR GOUT.004.000.0012
GPIO.004.000.3:SCLR GOUT.004.000.0001
GPIO.004.000.3:CLKIN_IN.0 DCMUX.004.000.0004
GPIO.004.000.3:CLKIN_IN.1 DCMUX.004.000.0006
GPIO.004.000.3:CLKIN_OUT.0 DCMUX.004.000.0000
GPIO.004.000.3:CLKIN_OUT.1 DCMUX.004.000.0002
GPIO.004.061.0:DATAIN.0 GOUT.004.061.0044
GPIO.004.061.0:DATAIN.1 GOUT.004.061.0034
GPIO.004.061.0:DATAIN.2 GOUT.004.061.0043
GPIO.004.061.0:DATAIN.3 GOUT.004.061.0029
GPIO.004.061.0:DATAOUT.0 GIN.004.061.0018
GPIO.004.061.0:DATAOUT.1 GIN.004.061.0017
GPIO.004.061.0:DATAOUT.2 GIN.004.061.0016
GPIO.004.061.0:DATAOUT.3 GIN.004.061.0015
GPIO.004.061.0:DATAOUT.4 GIN.004.061.0014
GPIO.004.061.0:OEIN.0 GOUT.004.061.0038
GPIO.004.061.0:OEIN.1 GOUT.004.061.0030
GPIO.004.061.0:BSLIPMAX GIN.004.061.0019
GPIO.004.061.0:CEIN GOUT.004.061.0027
GPIO.004.061.0:CEOUT GOUT.004.061.0045
GPIO.004.061.0:ACLR GOUT.004.061.0028
GPIO.004.061.0:SCLR GOUT.004.061.0031
GPIO.004.061.0:CLKIN_IN.0 DCMUX.004.061.0010
GPIO.004.061.0:CLKIN_IN.1 DCMUX.004.061.0008
GPIO.004.061.0:CLKIN_OUT.0 DCMUX.004.061.0014
GPIO.004.061.0:CLKIN_OUT.1 DCMUX.004.061.0012
GPIO.004.061.1:DATAIN.0 GOUT.004.061.0049
GPIO.004.061.1:DATAIN.1 GOUT.004.061.0041
GPIO.004.061.1:DATAIN.2 GOUT.004.061.0048
GPIO.004.061.1:DATAIN.3 GOUT.004.061.0040
GPIO.004.061.1:DATAOUT.0 GIN.004.061.0024
GPIO.004.061.1:DATAOUT.1 GIN.004.061.0023
GPIO.004.061.1:DATAOUT.2 GIN.004.061.0022
GPIO.004.061.1:DATAOUT.3 GIN.004.061.0021
GPIO.004.061.1:DATAOUT.4 GIN.004.061.0020
GPIO.004.061.1:OEIN.0 GOUT.004.061.0047
GPIO.004.061.1:OEIN.1 GOUT.004.061.0039
GPIO.004.061.1:BSLIPMAX GIN.004.061.0025
GPIO.004.061.1:CEIN GOUT.004.061.0051
GPIO.004.061.1:CEOUT GOUT.004.061.0050
GPIO.004.061.1:ACLR GOUT.004.061.0042
GPIO.004.061.1:SCLR GOUT.004.061.0046
