1,0,576
1,12,64
1,18,3713
1,24,3457
1,30,2081
1,36,2337
1,42,2593
1,48,2849
1,54,3105
1,6,320
2,0,512
2,12,4288
2,18,7937
2,24,7681
2,30,6241
2,36,6497
2,42,6753
2,48,7009
2,54,7265
2,6,4544
3,0,42496
3,12,8448
3,18,12097
3,24,11841
3,30,10465
3,36,10721
3,42,10977
3,48,11233
3,54,11489
3,6,8704
4,0,42432
4,12,12672
4,18,16321
4,24,16065
4,30,14625
4,36,14881
4,42,15137
4,48,15393
4,54,15649
4,6,12928
5,0,38336
5,12,0
5,18,3649
5,24,3393
5,30,2145
5,36,2401
5,42,2657
5,48,2913
5,54,3169
5,6,256
6,0,8896
6,12,4224
6,18,7873
6,24,7617
6,30,6305
6,36,6561
6,42,6817
6,48,7073
6,54,7329
6,6,4480
7,0,80256
7,12,37760
7,18,41409
7,24,41153
7,30,39841
7,36,40097
7,42,40353
7,48,40609
7,54,40865
7,6,38016
8,0,50816
8,12,33536
8,18,37185
8,24,36929
8,30,35681
8,36,35937
8,42,36193
8,48,36449
8,54,36705
8,6,33792
9,0,4768
9,12,4256
9,18,7905
9,24,7649
9,30,6273
9,36,6529
9,42,6785
9,48,7041
9,54,7297
9,6,4512
10,0,4704
10,12,8480
10,18,12129
10,24,11873
10,30,10433
10,36,10689
10,42,10945
10,48,11201
10,54,11457
10,6,8736
11,0,46688
11,12,12640
11,18,16289
11,24,16033
11,30,14657
11,36,14913
11,42,15169
11,48,15425
11,54,15681
11,6,12896
12,0,46624
12,12,16864
12,18,20513
12,24,20257
12,30,18817
12,36,19073
12,42,19329
12,48,19585
12,54,19841
12,6,17120
13,0,34144
13,12,4192
13,18,7841
13,24,7585
13,30,6337
13,36,6593
13,42,6849
13,48,7105
13,54,7361
13,6,4448
14,0,13088
14,12,8416
14,18,12065
14,24,11809
14,30,10497
14,36,10753
14,42,11009
14,48,11265
14,54,11521
14,6,8672
15,0,76064
15,12,33568
15,18,37217
15,24,36961
15,30,35649
15,36,35905
15,42,36161
15,48,36417
15,54,36673
